SMILES,truth,predictions
CNCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CNCCCN1c2ccccc2CCc2cc(O)ccc21,NCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,CNCCCN1c2ccc(O)cc2CCc2cc(O)ccc21,NCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,CNCCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,Oc1ccc2c(c1)CCc1ccccc1N2,CNCCCO,CC(=O)NCCCN1c2ccccc2CCc2cc(O)ccc21,OCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccc(O)cc2CC(O)c2ccccc21,CNCCCN1c2ccccc2CC(O)c2cc(O)ccc21"
CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,C[N+](C)([O-])CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,CN(C)CCCN1c2ccc(O)cc2CCc2cc(O)ccc21,OCCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCO,CN(C)CCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,Oc1ccc2c(c1)CCc1ccccc1N2,C[N+](C)(CCCN1c2ccccc2CCc2cc(O)ccc21)C1OC(C(=O)O)C(O)C(O)C1O,CN(C)CCCN1c2ccccc2CC(O)c2cc(O)ccc21"
Nc1ccncc1N,CC(=O)Nc1cnccc1N,"Nc1ccncc1N,CC(=O)Nc1cnccc1N,CC(=O)Nc1ccncc1N,Nc1cnc(O)cc1N,CC(=O)Nc1cc(O)ncc1N,CC(=O)Nc1cnc(O)cc1N,Nc1cnc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1N,Nc1ccncc1NC1OC(C(=O)O)C(O)C(O)C1O,Nc1cnccc1NC1OC(C(=O)O)C(O)C(O)C1O,Nc1cc[n+]([O-])cc1N,Nc1ccnc(O)c1N,Nc1cncc(O)c1N"
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1","CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(=O)O)cc1,CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(=O)COc1ccc(CC(N)=O)cc1,CC(C)(O)NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)CO,NC(=O)Cc1ccc(O)cc1,CC(C)N,NC(=O)Cc1ccc(OCC(O)CO)cc1,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1,CC(=O)NCC(O)COc1ccc(CC(N)=O)cc1"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,"CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O","C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O,C=CCC(CC(C)C)(C(=O)O)C(=O)NC(N)=O,C=CCC(CC(C)C)(C([NH])=O)C(=O)NC(=O)O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O,CC(C)CC1(CC(CO)OC2OC(C(=O)O)C(O)C(O)C2O)C(=O)NC(=O)NC1=O,CC(C)CC1(CC(O)COC2OC(C(=O)O)C(O)C(O)C2O)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)C)C(=O)NC(=O)N(C2OC(C(=O)O)C(O)C(O)C2O)C1=O,C=CCC1(CC(C)C(=O)O)C(=O)NC(=O)NC1=O,C=CCC(CC(C)C)(C(=O)NC(N)=O)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,C=CC(O)C1(CC(C)C)C(=O)NC(=O)NC1=O"
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,"CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccc(O)cc1CC2,CCOC(=O)Nc1cc2c(cc1O)CCc1ccccc1N2C(=O)CN(CC)CC,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CO)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CCNCC,CCOC(=O)Nc1ccc2c(c1)Nc1ccccc1CC2,CCN(CC)CC(=O)O,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1C(O)C2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2O,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1cc(O)ccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N+]([O-])(CC)CC)c1ccccc1CC2"
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS([O-])([O-])[O-])c2n1,"Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c2n1,OCc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)c(O)c(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS(=O)(=O)O)c2n1,Cc1nc2c(O)c(Cl)cc(Cl)c2cc1O,COc1c(Cl)cc(Cl)c2ccc(C)nc12,O=C(O)c1ccc2c(Cl)cc(Cl)c(O)c2n1,O=C(O)C1OC(Oc2c(Cl)cc(Cl)c3ccc(CO)nc23)C(O)C(O)C1O,Cc1ccc2c(Cl)c(O)c(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c2n1,Cc1ccc2c(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(O)c2[n+]1[O-]"
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)O)CC3)c(F)cc2c1=O","O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)C1CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1=O,O=C(O)CNC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1c(O)n(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3=O)c(F)cc2c1=O,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3O)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNC(O)C3)c(F)cc2c1=O,NCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2O)c2cc(N3CCNCC3)c(F)cc2c1=O"
Cn1c(=O)c2c(ncn2C)n(C)c1=O,"Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O","Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,Cn1c(=O)c2c(n(C)c1=O)[n+]([O-])cn2C,Cn1c(=O)c2c(n(C)c1=O)[n+](C1OC(C(=O)O)C(O)C(O)C1O)cn2C,Cn1c(=O)c2c(ncn2C)n(C2OC(C(=O)O)C(O)C(O)C2O)c1=O,Cn1cnc2c1c(=O)n(C1OC(C(=O)O)C(O)C(O)C1O)c(=O)n2C,Cn1c(=O)c2c(ncn2C2OC(C(=O)O)C(O)C(O)C2O)n(C)c1=O,Cn1c(=O)[nH]c2c(c1=O)n(C)c[n+]2C1OC(C(=O)O)C(O)C(O)C1O,Cn1c[n+](C2OC(C(=O)O)C(O)C(O)C2O)c2c1c(=O)[nH]c(=O)n2C"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,"O=C(CO)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,Nc1ccc(C(O)C(N)CO)cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(COS(=O)(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1","O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(C(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(=Cc1ccc([N+](=O)[O-])cc1)CO)C(Cl)Cl,Nc1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(O)Cl,O=C(NC(CO)C(=O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(CO)C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)C(Cl)Cl,CC(=O)Nc1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])c(O)c1)C(Cl)Cl"
