SMILES,predictions
c1ccc2c(N3CCNCC3)nsc2c1,C[N+]1([O-])CCNCC1 CSc1ccccc1C(=N)N1CCNCC1 Oc1cccc2snc(N3CCNCC3)c12 OC1CNCCN1c1nsc2ccccc12 OC1CN(c2nsc3ccccc23)CCN1 N=C(c1ccccc1S)N1CCNCC1 Oc1cccc2c(N3CCNCC3)nsc12 Nc1nsc2ccccc12 O=C1CNCCN1c1nsc2ccccc12 O=C(O)C1OC(ON2CCN(c3nsc4ccccc34)CC2)C(O)C(O)C1O O=C(O)C1OC(N2CCN(c3nsc4ccccc34)CC2)C(O)C(O)C1O O=C1CN(c2nsc3ccccc23)CCN1
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)c(O)c1F O=C(NOCCO)c1cc(O)c2cncn2c1Nc1ccc(I)cc1F O=C(NOCCOP(=O)(O)O)c1ccc2cncn2c1Nc1ccc(I)cc1F O=C(O)CONC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F O=C(NOCCO[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc2cncn2c1Nc1ccc(I)cc1F O=CCONC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F O=C(NO)c1ccc2cncn2c1Nc1ccc(I)cc1F O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)c(I)c1F O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(O)cc1F NC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F O=C(NOCCO)c1ccc2cncn2c1Nc1ccccc1F
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)c(O)cc21 CN1C(=O)[C@@H](O)N=C(c2ccc(O)cc2)c2cc(Cl)ccc21 CN1C(=O)C(O)N=C(c2cccc(O)c2)c2cc(Cl)ccc21 O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O CN1C(=O)[C@@H](O)N=C(c2cccc(O)c2)c2cc(Cl)ccc21 CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21 CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21 CN1C(=O)C(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)N=C(c2ccccc2)c2cc(Cl)ccc21 O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O CN1C(=O)C(O)N=C(c2ccc(O)cc2)c2cc(Cl)ccc21 CN1C(=O)C(=O)N=C(c2ccccc2)c2cc(Cl)ccc21 CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)c(O)cc21 CN1C(=O)C(=O)/N=C(\c2ccccc2)c2cc(Cl)ccc21 CN1C(=O)C(OC2OC(C(=O)O)C(O)C(O)C2O)N=C(c2ccccc2)c2cc(Cl)ccc21
Clc1ccccc1CN1CCc2sccc2C1,Oc1csc2c1CN(Cc1ccccc1Cl)CC2 Oc1ccc(Cl)c(CN2CCc3sccc3C2)c1 O[C@@H]1CN(Cc2ccccc2Cl)Cc2ccsc21 O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1=O Clc1ccccc1CN1C=C2C=C[S+]=C2CC1 O=Cc1ccccc1Cl O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1 O=C(O)c1ccccc1Cl OC1CN(Cc2ccccc2Cl)Cc2ccsc21 O=C1C=C2CCN(Cc3ccccc3Cl)C=C2S1 Oc1cc2c(s1)CCN(Cc1ccccc1Cl)C2
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,Oc1ccc2c(c1O)-c1cccc3c1[C@H](C2)NCC3 Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)NCC3 CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1-3 CN1CCc2cccc3c2C1CC1=C3C(=O)C(=O)C=C1 CN1CCc2cccc3c2[C@H]1CC1=C3C(=O)C(=O)C=C1 CN1CCc2cccc3c2C1Cc1ccc(O)cc1-3 CN1CCc2cccc3c2[C@H]1Cc1cccc(O)c1-3 CN1CCc2cccc3c2[C@H]1Cc1ccc(O)cc1-3 CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1-3 CN1CCc2cccc3c2C1Cc1cc(O)c(O)c(O)c1-3 CN1CCc2cccc3c2[C@H]1Cc1cc(O)c(O)c(O)c1-3 CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1-3 CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1-3 CN1CCc2cccc3c2C1Cc1cccc(O)c1-3
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21 O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1(O)O O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O O=C1Nc2ccc(Cl)cc2C(c2cccc(O)c2)=NC1O OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=N[C@H]1O O=C1Nc2ccc(Cl)cc2C(c2cccc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2)=NC1O O=C1C(O)N=C(c2ccccc2)c2cc(Cl)ccc2N1O O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(C(=O)O)C(O)C(O)C1O O=C(O)[C@H]1O[C@@H](OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O
COc1ccc2ccc(=O)oc2c1CC=C(C)C,COc1c(O)cc2ccc(=O)oc2c1CC=C(C)C COc1ccc2ccc(=O)oc2c1[C@H](O)C=C(C)C COc1ccc2ccc(=O)oc2c1CC1OC1(C)C COc1cc(O)c2ccc(=O)oc2c1CC=C(C)C COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C CC(C)=CCc1c(O)ccc2ccc(=O)oc12 COc1ccc2ccc(=O)oc2c1C(O)C=C(C)C COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO COc1ccc2ccc(=O)oc2c1CC=C(C)CO COc1ccc2ccc(=O)oc2c1C[C@@H]1OC1(C)C
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](C=O)OC4=O)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(NCC(O)CO)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(NC[C@@H](O)CO)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](C(=O)O)OC4=O)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COS(=O)(=O)O)OC4=O)cc3F)cn2)n1 O=C1O[C@@H](CO)CN1c1ccc(-c2ccc(-c3nn[nH]n3)nc2)c(F)c1 Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](C=S(=O)(O)O)OC4=O)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(NC[C@H](O)CO)cc3F)cn2)n1 O=C1O[C@@H](CO)CN1c1ccc(-c2ccc(-c3nnn[nH]3)nc2)c(F)c1 Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COC5OC(C(=O)O)C(O)C(O)C5O)OC4=O)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(NCC(=O)O)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(N4CC(C(=O)O)OC4=O)cc3F)cn2)n1
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,NC(=O)c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1 O=S(=O)(c1cccnc1)n1cc(CO)cc1-c1ccccc1F N=Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1 CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc(O)nc2)c1 NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1 O=C(O)NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1 O=S(=O)(c1cccnc1)n1cc(CNCO)cc1-c1ccccc1F CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc(=O)[nH]c2)c1 CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc[n+](C3OC(C(=O)O)C(O)C(O)C3O)c2)c1 CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc[n+]([O-])c2)c1 CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1O O=Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OC3OC(C(=O)O)C(O)C(O)C3O)c(CN(C)C)c12 CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CCOC(=O)c1c(C(=O)O)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CN(C)Cc1c(O)c(Br)cc2c1c(C(=O)O)c(C[S@@](=O)c1ccccc1)n2C CCOC(=O)c1c(CSc2ccc(OC)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CN(C)Cc1c(Br)c(Br)cc2c1c(C(=O)O)c(CSc1ccccc1)n2C CCOC(=O)c1c(CSc2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(C[N+](C)(C)[O-])c12 CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CN(C)Cc1c(O)c(Br)cc2c1c(C(=O)O)c(CS(=O)c1ccccc1)n2C CCOC(=O)c1c(C)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CN(C)Cc1c(O)c(Br)cc2c1c(C(=O)O)c(CSc1ccccc1)n2C
