SMILES,truth,predictions
CNCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,CC(=O)N(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,CNCCCN1c2ccccc2CCc2cc(O)c(O)cc21,CNCCCN1c2ccccc2CCc2cc(O)cc(O)c21,CNCCCN1c2ccccc2CCc2c1ccc(O)c2O,OCCCN1c2ccccc2CCc2cc(O)ccc21,CN(O)CCCN1c2ccccc2CCc2cc(O)ccc21,NCCCN1c2ccccc2CCc2cc(O)ccc21,OCNCCCN1c2ccccc2CCc2cc(O)ccc21,O=CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC)ccc21,CNCCCN1c2ccc(O)cc2CC(O)c2ccccc21,CNCCCN1c2ccc(O)cc2CCc2ccc(O)cc21,CNCCCN1c2ccccc2CC(O)c2cc(O)ccc21"
CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,C[N+](C)(CCCN1c2ccccc2CCc2cc(O)ccc21)C1OC(C(=O)O)C(O)C(O)C1O,CN(C)CCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)cc(O)c21,CN(C)CCCN1c2ccccc2CCc2cc(O)c(O)cc21,CN(C)CCCN1c2ccccc2CCc2c1ccc(O)c2O,CN(CO)CCCN1c2ccccc2CCc2cc(O)ccc21,C[N+](C)([O-])CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(O)ccc21,OCCCN1c2ccccc2CCc2cc(O)ccc21,CNC,O=CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)C(O)CCN1c2ccccc2CCc2cc(O)ccc21,COc1ccc2c(c1)CCc1ccccc1N2CCCN(C)C,CN(C)CCCO"
Nc1ccncc1N,CC(=O)Nc1cnccc1N,"Nc1ccncc1NS(=O)(=O)O,CC(=O)Nc1cnccc1N,Nc1cnccc1NS(=O)(=O)O,CC(=O)Nc1ccncc1N,Nc1cnccc1NC1OC(C(=O)O)C(O)C(O)C1O,Nc1ccncc1NC1OC(C(=O)O)C(O)C(O)C1O,Nc1cncc(O)c1N,Nc1cc[n+]([O-])cc1N,Nc1cnc(O)cc1N,Nc1ccnc(O)c1N,Nc1cc[n+](C2OC(C(=O)O)C(O)C(O)C2O)cc1N,Nc1cnccc1NO,Nc1ccncc1NO"
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1","CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(COc1ccc(CC(N)=O)cc1)OS(=O)(=O)O,CC(C)NCC(O)COc1ccc(CC(=O)O)cc1,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(=O)NO)cc1,CC(C)NCC(O)COc1ccc(CC(=O)NC2OC(C(=O)O)C(O)C(O)C2O)cc1,CC(C)N,CC(C)NC(O)C(O)COc1ccc(CC(N)=O)cc1,CC(C)N(O)CC(O)COc1ccc(CC(N)=O)cc1,NC(=O)Cc1ccc(OCC(O)C=O)cc1,NC(=O)Cc1ccc(OCC(O)CO)cc1,CC(C)NCC(=O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)(O)COc1ccc(CC(N)=O)cc1,CC(C)=O,NCC(O)COc1ccc(CC(N)=O)cc1"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,"CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O","C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)C(=O)O)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O,CC(C)CC1(CC2CO2)C(=O)NC(=O)NC1=O,CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CC(O)C1(CC(C)C)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)C)C(=O)NC(=O)N(C2OC(C(=O)O)C(O)C(O)C2O)C1=O,C=CCC(CC(C)C)(C(=O)O)C(=O)NC(N)=O,C=CCC(CC(C)C)(C(N)=O)C(=O)NC(=O)O,C=CCC1(CC(C)C)C(=O)NC(=O)N(O)C1=O,C=CCC1(C(O)C(C)C)C(=O)NC(=O)NC1=O,C=CCC1(CC(=C)C)C(=O)NC(=O)NC1=O,CC(C)CC1(C=CCO)C(=O)NC(=O)NC1=O,C=C=CC1(CC(C)C)C(=O)NC(=O)NC1=O,C=CCC1(C=C(C)C)C(=O)NC(=O)NC1=O"
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,"CCO,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)C(C)O)c1ccccc1CC2,CC=O,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N+]([O-])(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1C=C2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1cc(O)ccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1C(O)C2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2O,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OC(C)O)cc21,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)O)cc21,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N)cc21,CCOC(=O)O,CCOC(=O)N(O)c1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1)Nc1ccccc1CC2"
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS([O-])([O-])[O-])c2n1,"Cc1ccc2c(Cl)cc(Cl)c(OS(=O)(=O)O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c2n1,OCc1ccc2c(Cl)cc(Cl)c(O)c2n1,O=C(O)c1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)cc(Cl)c(O)c2n1,COc1c(Cl)cc(Cl)c2ccc(C)nc12,Cc1ccc2c(Cl)cc(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)c(O)c2n1,Cc1ccc2c(Cl)c(O)c(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(O)c2[n+]1[O-],Cc1nc2c(O)c(Cl)cc(Cl)c2cc1O,Cc1ccc2c(Cl)cc(Cl)c(O)c2[n+]1C1OC(C(=O)O)C(O)C(O)C1O,Cc1cc(O)c2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(O)c(O)c2n1,Cc1ccc2c(O)cc(Cl)c(O)c2n1"
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)O)CC3)c(F)cc2c1=O","O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2)c2cc(N3CCNC(O)C3)c(F)cc2c1=O,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,NCCN(CC=O)c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(O)CC3)c(F)cc2c1=O,NCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3O)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3=O)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C4OC(C(=O)O)C(O)C(O)C4O)CC3)c(F)cc2c1=O,O=CCNCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1cn(C2CC2)c2cc([N+]3([O-])CCNCC3)c(F)cc2c1=O,O=c1ccn(C2CC2)c2cc(N3CCNCC3)c(F)cc12,O=C(O)c1cn(C2CC2)c2cc(N3CCN4CC43)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CC=NCC3)c(F)cc2c1=O"
Cn1c(=O)c2c(ncn2C)n(C)c1=O,"Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O","Cn1cnc2c1c(=O)n(CO)c(=O)n2C,CN1C(=O)[N+](C)([O-])C(=O)c2c1ncn2C,Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c2c(c(=O)n(C)c1=O)[N+](C)([O-])C=N2,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,Cn1c(=O)c2c(n(C)c1=O)[n+]([O-])cn2C,Cn1c(=O)c2c(ncn2C)n(CO)c1=O,CN1C(=O)c2c(ncn2C)[N+](C)([O-])C1=O,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)c2c(ncn2CO)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2c(n(C)c1=O)[n+](C1OC(C(=O)O)C(O)C(O)C1O)cn2C"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,"O=C(CO)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,Nc1ccc(C(O)C(N)CO)cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(COS(=O)(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1","O=C(NC(CO)C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(O)Cl,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(O)(Cl)Cl,O=C(Cl)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(COS(=O)(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(CO)C(OS(=O)(=O)O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(C(Cl)Cl)N(O)C(CO)C(O)c1ccc([N+](=O)[O-])cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)C(Cl)Cl,O=C(NC(=Cc1ccc([N+](=O)[O-])cc1)CO)C(Cl)Cl,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])c(O)c1)C(Cl)Cl,O=C(NC(CO)C(=O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(CO)C(O)(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(O)(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl"
