SMILES,truth,predictions
CNCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,CNCCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC)ccc21,CNCCC=O,Oc1ccc2c(c1)CCc1ccccc1N2,CNCC(O)CN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccc(O)cc2CCc2ccc(O)cc21,CNCCCN1c2ccc(O)cc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(O)c(O)cc21,CNCCCN1c2ccccc2CCc2cc(O)cc(O)c21,CNCCCN1c2ccc(O)cc2CCc2cccc(O)c21,CNCCCN1c2ccccc2CCc2c1ccc(O)c2O,CNCCCN1c2ccc(O)cc2CCc2c(O)cccc21,NCCCN1c2ccccc2CCc2cc(O)ccc21,CN,O=CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCC(O)N1c2ccccc2CCc2cc(O)ccc21"
CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,C[N+](C)(CCCN1c2ccccc2CCc2cc(O)ccc21)C1OC(C(=O)O)C(O)C(O)C1O,CN(C)CCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,COc1ccc2c(c1)CCc1ccccc1N2CCCN(C)C,CN(C)CCC=O,Oc1ccc2c(c1)CCc1ccccc1N2,CN(C)CC(O)CN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccc(O)cc2CCc2ccc(O)cc21,CN(C)CCCN1c2ccc(O)cc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)c(O)cc21,C[N+](C)([O-])CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)cc(O)c21,CN(C)CCCN1c2ccc(O)cc2CCc2cccc(O)c21,CN(C)CCCN1c2ccccc2CCc2c1ccc(O)c2O,CN(C)CCCN1c2ccc(O)cc2CCc2c(O)cccc21,CNCCCN1c2ccccc2CCc2cc(O)ccc21,CNC,O=CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)C(O)CCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCC(O)N1c2ccccc2CCc2cc(O)ccc21"
Nc1ccncc1N,CC(=O)Nc1cnccc1N,"Nc1cnccc1NC1OC(C(=O)O)C(O)C(O)C1O,Nc1ccncc1NC1OC(C(=O)O)C(O)C(O)C1O,Nc1cc[n+]([O-])cc1N,Nc1cnccc1NO,Nc1ccncc1NO"
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1","CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(O)COc1ccc(CC(=O)NC2OC(C(=O)O)C(O)C(O)C2O)cc1,CC(C)NCC(COc1ccc(CC(N)=O)cc1)OS(=O)(=O)O,CC(C)NCC(=O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1,CC(C)NCC(O)C=O,NC(=O)Cc1ccc(O)cc1,CC(C)=O,NCC(O)COc1ccc(CC(N)=O)cc1,CC(CO)NCC(O)COc1ccc(CC(N)=O)cc1,C=C(C)NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)=O,NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)N,NC(=O)Cc1ccc(OCC(O)C=O)cc1"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,"CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O","C=CCC(CC(C)C)(C(=O)O)C(=O)NC(N)=O,C=CC(O)C1(CC(C)C)C(=O)NC(=O)NC1=O,CC(C)CC1(CC2CO2)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(=C)C)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O"
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,"CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N+](CC)(CC)C1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1CC2,CCOC(=O)Nc1cc2c(cc1O)CCc1ccccc1N2C(=O)CN(CC)CC,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1cc(O)ccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccc(O)cc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N+]([O-])(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1O)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1c(O)cccc1CC2,CCOC(=O)Nc1cc(O)c2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1cccc(O)c1CC2,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCCO)cc21,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CCO)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C=O)c1ccccc1CC2,CCNCC,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CC=O,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C(O)N(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)C(C)O)c1ccccc1CC2"
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS([O-])([O-])[O-])c2n1,"Cc1ccc2c(Cl)cc(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c2n1,Cc1ccc2c(Cl)cc(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS(=O)(=O)O)c2n1,COc1c(Cl)cc(Cl)c2ccc(C)nc12,OCc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1nc2c(O)c(Cl)cc(Cl)c2cc1O,Cc1ccc2c(Cl)c(O)c(Cl)c(O)c2n1,Cc1cc(O)c2c(Cl)cc(Cl)c(O)c2n1"
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)O)CC3)c(F)cc2c1=O","O=C(O)C1=CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1O,O=C(O)CNC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=CCNCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1c[nH]c2cc(N3CCNCC3)c(F)cc2c1=O,O=C1CC1,O=C(O)c1cn(C2CC2)c2cc([N+]3([O-])CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3O)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNC(O)C3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)c(O)c2c1=O,O=C(O)c1cn(C2CC2)c2c(O)c(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3O)c(F)cc2c1=O,O=C(O)c1cn(C2(O)CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2O)c2cc(N3CCNCC3)c(F)cc2c1=O"
Cn1c(=O)c2c(ncn2C)n(C)c1=O,"Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O","Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)[nH]c2ncn(C)c2c1=O"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,"O=C(CO)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,Nc1ccc(C(O)C(N)CO)cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(COS(=O)(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1","O=C(NC(CO)C(O)c1ccc(NO)cc1)C(Cl)Cl,O=C(NC(CO)C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COS(=O)(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(CO)C(OS(=O)(=O)O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=CC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,O=C(CCl)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(O)(Cl)Cl,O=Nc1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1"
