SMILES,truth,predictions
CNCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CNCCCN1c2ccccc2CCc2cc(O)c(O)cc21,NCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,CNCCCN1c2ccccc2CCc2c1ccc(OC1OC(C(=O)O)C(O)C(O)C1O)c2O,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,CNCCCN1c2ccccc2CC(O)c2cc(O)ccc21"
CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CN(C)CCCN1c2ccccc2CCc2cc(OS(=O)(=O)O)ccc21,CN(C)CCCN1c2ccccc2CCc2c1ccc(OC1OC(C(=O)O)C(O)C(O)C1O)c2O,CN(C)CCCN1c2ccccc2CC(O)c2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21"
Nc1ccncc1N,CC(=O)Nc1cnccc1N,"Nc1cncc(O)c1N,Nc1ccncc1NC=O,Nc1cnccc1NC=O,Nc1c(O)cncc1O,CC(=O)Nc1cnccc1N,Nc1ccnc(O)c1N,CC(=O)Nc1ccncc1N,Nc1c(O)ccnc1O"
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1","NC(=O)Cc1ccc(OCC(O)CO)cc1,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1,NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(=O)O)cc1,NC(=O)Cc1ccc(O)cc1,CC(C)NCC(O)COc1ccc(CC(=O)O)cc1,CC(C)NCC(O)COc1ccc(C(=O)O)cc1"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,"CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O","C=CCC1(CC(C)C)C(=O)N=C(O)N=C1O,CC(C)CC1(CC(C)O)C(=O)NC(=O)NC1=O,CC(C)CC1(CC(C)(C)O)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O,CC(C)CC1(CC(C)C)C(=O)NC(=O)NC1=O,C=CCC(CC(C)C)(C(=O)O)C(=O)NC(N)=O"
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,"CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OC(C)O)cc21,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N=C(O)O)cc21,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCCO)cc21,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N)cc21,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)O)cc21"
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS([O-])([O-])[O-])c2n1,"COc1c(Cl)cc(Cl)c2ccc(C)nc12,CC1=Nc2c(O)c(Cl)cc(Cl)c2C2OC12,Cc1ccc2c(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c(Cl)cc2n1,COc1c(Cl)cc(Cl)c2ccc(CO)nc12,Cc1ccc2c(Cl)cc(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c2n1,Cc1nc2c(O)c(Cl)cc(Cl)c2cc1O"
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)O)CC3)c(F)cc2c1=O","O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)O)CC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(NCCNC(=O)C(O)C(O)C(O)C(=O)O)c(F)cc2c1=O,O=C(O)c1c[nH]c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(=O)O)CC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNC(O)C3)c(F)cc2c1=O,O=C(O)CNCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(=O)CC(O)C(=O)O)CC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(=O)O)CC3)ccc2c1=O,NCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1"
Cn1c(=O)c2c(ncn2C)n(C)c1=O,"Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O","Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1cnc2c1c(=O)[nH]c(=O)n2C,CC(=O)Nc1c(NC=O)[nH]c(=O)n(C)c1=O"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,"O=C(CO)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,Nc1ccc(C(O)C(N)CO)cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(COS(=O)(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1","O=[N+]([O-])c1ccc(C(O)C(O)C(O)CO)cc1,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Nc1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(CCl)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1"
